                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5989,                 3.7662,                 3.8789,                0.54868,                0.04558,                0.01777,                0.00439,                 3.2584,                 3.4656,                 3.6246,               0.070178,              0.0033136,              0.0033136
                      2,                 2.9722,                 2.9538,                 3.1663,                0.22999,                0.27197,                0.15422,                0.05079,                 2.5335,                 2.7944,                 2.8423,               0.040112,              0.0065811,              0.0065811
                      3,                 2.3582,                 2.5395,                 2.5934,                0.27741,                0.31556,                0.21307,                0.08114,                 2.1924,                 2.6515,                 2.4581,              0.0099799,              0.0097827,              0.0097827
                      4,                 2.0367,                 2.2761,                 2.2485,                0.38328,                0.39494,                0.34117,                0.15269,                 1.8365,                 2.4681,                 2.0872,               0.009703,               0.009703,               0.009703
                      5,                  1.888,                 2.1051,                 2.0865,                0.41993,                0.47771,                0.42086,                0.19659,                 1.7328,                 2.0828,                 1.9963,               0.009703,               0.009703,               0.009703
                      6,                 1.8038,                 1.9975,                 2.0031,                0.51129,                0.47901,                 0.4794,                0.24177,                 1.6439,                 1.8903,                 1.8554,               0.009604,               0.009604,               0.009604
                      7,                 1.7438,                 1.9267,                  1.941,                0.47293,                0.50391,                0.47172,                0.24263,                 1.6302,                 1.8268,                  1.879,               0.009505,               0.009505,               0.009505
                      8,                 1.7118,                 1.8769,                 1.9033,                0.51246,                0.47869,                0.48097,                0.25327,                 1.5897,                 1.8417,                 1.8196,               0.009406,               0.009406,               0.009406
                      9,                 1.6726,                 1.8221,                 1.8763,                0.49077,                0.52343,                0.51587,                0.27444,                 1.5622,                 1.7661,                 1.7849,               0.009307,               0.009307,               0.009307
                     10,                 1.6434,                 1.7725,                 1.8424,                0.53753,                 0.5176,                0.53014,                0.28355,                 1.5543,                 1.7127,                 1.7692,               0.009208,               0.009208,               0.009208
                     11,                 1.6155,                 1.7334,                 1.8089,                0.48692,                0.55048,                0.53857,                0.29862,                  1.486,                 1.7264,                 1.7121,               0.009109,               0.009109,               0.009109
                     12,                 1.6031,                 1.7029,                 1.7965,                0.55513,                0.55506,                0.57362,                0.31951,                 1.4851,                 1.5974,                 1.7109,                0.00901,                0.00901,                0.00901
                     13,                 1.5776,                 1.6809,                 1.7769,                0.56305,                0.55426,                0.58078,                0.32476,                 1.4682,                 1.5931,                 1.7032,               0.008911,               0.008911,               0.008911
                     14,                 1.5537,                 1.6392,                 1.7571,                0.56634,                0.56348,                0.57361,                0.32957,                 1.4501,                  1.553,                 1.6913,               0.008812,               0.008812,               0.008812
                     15,                  1.549,                 1.6213,                 1.7583,                0.53001,                 0.6022,                0.59188,                0.33539,                 1.4145,                 1.5587,                 1.6387,               0.008713,               0.008713,               0.008713
                     16,                 1.5245,                  1.587,                 1.7298,                0.57123,                0.59029,                0.61171,                0.35353,                 1.4377,                 1.4985,                 1.6505,               0.008614,               0.008614,               0.008614
                     17,                 1.5052,                 1.5597,                 1.7159,                0.52534,                0.56477,                0.57571,                0.33124,                 1.4138,                 1.6379,                 1.6453,               0.008515,               0.008515,               0.008515
                     18,                 1.4966,                 1.5472,                 1.7075,                0.56735,                0.62446,                0.62984,                0.37315,                 1.3799,                 1.4711,                 1.6146,               0.008416,               0.008416,               0.008416
                     19,                 1.4857,                 1.5214,                 1.6956,                0.59341,                0.61617,                0.64509,                0.38768,                 1.3502,                 1.4044,                 1.6029,               0.008317,               0.008317,               0.008317
                     20,                 1.4767,                 1.5154,                 1.6934,                0.60862,                0.63291,                0.64913,                0.39239,                 1.3434,                 1.4235,                 1.5959,               0.008218,               0.008218,               0.008218
                     21,                 1.4653,                 1.4832,                 1.6726,                0.59821,                0.61796,                0.64585,                0.37889,                 1.3805,                 1.4382,                 1.6185,               0.008119,               0.008119,               0.008119
                     22,                 1.4493,                 1.4651,                 1.6688,                0.59862,                 0.6281,                0.65641,                0.39592,                 1.3275,                 1.4011,                 1.5688,                0.00802,                0.00802,                0.00802
                     23,                 1.4375,                 1.4505,                 1.6606,                0.60212,                0.63722,                0.66167,                0.40364,                 1.3461,                 1.3446,                  1.606,               0.007921,               0.007921,               0.007921
                     24,                 1.4339,                 1.4273,                 1.6519,                0.61335,                0.64774,                0.67429,                0.40987,                 1.3204,                 1.3368,                 1.5802,               0.007822,               0.007822,               0.007822
