                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5435,                 3.6418,                 3.8577,                0.52216,                0.01151,                0.00595,                0.00167,                 3.2285,                 17.633,                 4.1377,               0.070178,              0.0033136,              0.0033136
                      2,                 2.9116,                 2.9152,                 3.1198,                0.24086,                0.27576,                0.15842,                0.05096,                 2.5019,                 2.6874,                  2.819,               0.040112,              0.0065811,              0.0065811
                      3,                 2.3453,                 2.5455,                 2.5606,                0.18161,                0.31215,                0.17115,                0.06736,                 2.1771,                 2.9729,                 2.4882,              0.0099799,              0.0097827,              0.0097827
                      4,                 2.0454,                 2.2928,                 2.2313,                0.36017,                0.41585,                0.33763,                0.14711,                 1.8897,                 2.5931,                 2.1125,               0.009703,               0.009703,               0.009703
                      5,                 1.9075,                 2.1207,                 2.0771,                0.41985,                0.47931,                0.43265,                0.20439,                 1.7492,                 2.1322,                 1.9615,               0.009703,               0.009703,               0.009703
                      6,                 1.8169,                 2.0203,                 1.9877,                0.42797,                 0.4448,                0.41591,                0.20671,                 1.7178,                 2.0564,                 1.9196,               0.009604,               0.009604,               0.009604
                      7,                 1.7597,                 1.9522,                 1.9301,                0.47175,                0.49759,                0.47902,                0.24751,                 1.6093,                 1.8632,                 1.8246,               0.009505,               0.009505,               0.009505
                      8,                 1.7264,                 1.8995,                 1.8856,                0.48793,                0.50329,                0.49351,                0.25984,                 1.5987,                 1.8628,                 1.7867,               0.009406,               0.009406,               0.009406
                      9,                 1.6877,                 1.8506,                 1.8593,                0.48362,                0.51568,                0.50549,                0.26064,                 1.6178,                 1.7706,                 1.8252,               0.009307,               0.009307,               0.009307
                     10,                 1.6642,                 1.8018,                 1.8285,                0.54951,                0.50157,                0.52137,                0.28287,                  1.546,                 1.7324,                 1.7497,               0.009208,               0.009208,               0.009208
                     11,                 1.6325,                 1.7622,                 1.7994,                0.53941,                0.54354,                0.54717,                0.30679,                 1.5075,                 1.6728,                 1.6971,               0.009109,               0.009109,               0.009109
                     12,                  1.622,                 1.7401,                 1.7841,                0.53334,                 0.5383,                0.55046,                0.30258,                 1.5154,                 1.6583,                 1.6981,                0.00901,                0.00901,                0.00901
                     13,                 1.5989,                 1.7149,                 1.7632,                0.56563,                0.50498,                0.52272,                0.29214,                 1.5292,                  1.733,                 1.7252,               0.008911,               0.008911,               0.008911
                     14,                 1.5815,                 1.6799,                 1.7464,                0.56682,                0.54756,                0.58145,                0.32495,                 1.4537,                 1.6079,                 1.6619,               0.008812,               0.008812,               0.008812
                     15,                  1.569,                 1.6583,                 1.7427,                0.54965,                0.57359,                0.59944,                0.33768,                 1.4486,                  1.568,                 1.6184,               0.008713,               0.008713,               0.008713
                     16,                 1.5444,                 1.6234,                 1.7113,                0.58618,                0.56724,                0.60071,                0.33784,                 1.4488,                 1.5598,                 1.6142,               0.008614,               0.008614,               0.008614
                     17,                 1.5278,                 1.5992,                 1.6933,                0.57956,                0.57439,                0.59756,                0.34051,                 1.4261,                 1.5636,                 1.6144,               0.008515,               0.008515,               0.008515
                     18,                 1.5203,                 1.5863,                 1.6877,                0.56426,                0.58913,                0.60993,                0.34834,                 1.4279,                 1.5265,                 1.5941,               0.008416,               0.008416,               0.008416
                     19,                 1.5119,                 1.5647,                  1.676,                0.61406,                 0.5855,                0.63215,                0.37077,                 1.3781,                 1.4481,                 1.5752,               0.008317,               0.008317,               0.008317
                     20,                 1.5037,                   1.56,                 1.6766,                0.60558,                0.59047,                0.62778,                0.36951,                 1.3968,                 1.4847,                 1.5826,               0.008218,               0.008218,               0.008218
