                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.567,                 3.6295,                  3.825,                0.00581,                0.28852,                0.00584,                0.00167,                  3.352,                 8.1721,                  4.799,               0.070178,              0.0033136,              0.0033136
                      2,                 2.9124,                 2.8971,                 3.1343,                0.27373,                0.26308,                0.17573,                0.06041,                 2.4737,                 2.6563,                 2.8118,               0.040112,              0.0065811,              0.0065811
                      3,                  2.351,                 2.5443,                 2.5943,                0.28568,                0.32067,                0.22015,                0.08532,                 2.0892,                 2.9809,                 2.4293,              0.0099799,              0.0097827,              0.0097827
                      4,                 2.0419,                 2.2937,                 2.2433,                0.31622,                    0.4,                0.28845,                 0.1233,                  1.867,                  2.509,                 2.0869,               0.009703,               0.009703,               0.009703
                      5,                 1.8957,                 2.1319,                 2.0684,                0.41671,                0.44191,                0.39741,                 0.1908,                 1.7332,                 2.2266,                 1.9382,               0.009703,               0.009703,               0.009703
                      6,                 1.8163,                 2.0314,                 1.9867,                0.46079,                0.43088,                0.41139,                0.20334,                 1.7153,                  2.082,                 1.9305,               0.009604,               0.009604,               0.009604
                      7,                 1.7587,                 1.9599,                 1.9258,                0.46263,                0.48188,                0.45478,                 0.2376,                 1.6177,                 1.8632,                 1.8332,               0.009505,               0.009505,               0.009505
                      8,                 1.7228,                 1.9039,                 1.8796,                0.50532,                0.51378,                0.50294,                0.26715,                 1.5805,                 1.7778,                 1.7623,               0.009406,               0.009406,               0.009406
                      9,                 1.6826,                 1.8514,                 1.8481,                0.50031,                 0.5219,                0.50509,                0.27097,                 1.5432,                 1.7722,                 1.7407,               0.009307,               0.009307,               0.009307
                     10,                 1.6577,                 1.8029,                 1.8163,                0.53013,                0.50487,                0.50493,                0.27002,                 1.5758,                 1.8052,                 1.7563,               0.009208,               0.009208,               0.009208
                     11,                 1.6299,                 1.7572,                 1.7831,                0.51534,                0.53922,                0.54199,                0.30015,                 1.4958,                  1.755,                 1.6741,               0.009109,               0.009109,               0.009109
                     12,                 1.6203,                 1.7285,                 1.7677,                0.54862,                0.54756,                0.55331,                0.30609,                 1.5153,                 1.6688,                 1.6658,                0.00901,                0.00901,                0.00901
                     13,                 1.5944,                 1.7094,                 1.7442,                 0.5518,                0.52864,                0.53625,                0.29882,                 1.5204,                 1.6949,                 1.6882,               0.008911,               0.008911,               0.008911
                     14,                 1.5741,                 1.6752,                  1.727,                0.58037,                0.55299,                0.57763,                0.32709,                 1.4475,                  1.601,                 1.6325,               0.008812,               0.008812,               0.008812
                     15,                 1.5676,                 1.6617,                 1.7315,                0.56741,                0.54456,                0.58525,                0.33103,                 1.4656,                 1.6028,                 1.6238,               0.008713,               0.008713,               0.008713
                     16,                 1.5462,                 1.6212,                 1.7023,                0.56857,                0.59547,                0.60614,                0.34447,                 1.4378,                 1.5496,                 1.5931,               0.008614,               0.008614,               0.008614
                     17,                 1.5268,                 1.5999,                 1.6849,                0.58646,                0.55668,                0.59252,                0.34157,                 1.4196,                  1.536,                 1.5991,               0.008515,               0.008515,               0.008515
                     18,                 1.5204,                 1.5872,                 1.6753,                 0.5568,                0.57831,                0.58385,                0.33631,                 1.4485,                 1.5579,                 1.5872,               0.008416,               0.008416,               0.008416
                     19,                 1.5087,                 1.5665,                 1.6646,                0.61169,                0.58772,                0.62548,                0.36973,                 1.3785,                 1.4599,                 1.5574,               0.008317,               0.008317,               0.008317
                     20,                  1.505,                 1.5597,                 1.6628,                0.57603,                0.60001,                0.62267,                0.37076,                 1.3693,                 1.5217,                 1.5466,               0.008218,               0.008218,               0.008218
                     21,                  1.492,                 1.5321,                 1.6452,                0.58165,                 0.6177,                0.64078,                0.38118,                 1.3851,                 1.4138,                 1.5549,               0.008119,               0.008119,               0.008119
                     22,                 1.4772,                 1.5158,                 1.6431,                0.60951,                0.59677,                0.64376,                0.39122,                 1.3406,                 1.4048,                 1.5276,                0.00802,                0.00802,                0.00802
                     23,                 1.4662,                 1.4999,                 1.6256,                 0.5751,                0.60983,                0.62168,                0.36176,                 1.4298,                 1.4642,                 1.5797,               0.007921,               0.007921,               0.007921
                     24,                 1.4597,                 1.4775,                 1.6161,                0.60335,                0.64728,                0.65727,                0.39552,                 1.3463,                  1.369,                 1.5145,               0.007822,               0.007822,               0.007822
                     25,                 1.4445,                 1.4694,                 1.6104,                0.59535,                 0.6281,                0.65764,                0.39852,                 1.3371,                 1.3765,                 1.5148,               0.007723,               0.007723,               0.007723
                     26,                 1.4472,                 1.4519,                 1.5943,                0.62218,                0.64133,                 0.6753,                0.41521,                 1.3204,                 1.3146,                 1.4914,               0.007624,               0.007624,               0.007624
                     27,                 1.4287,                 1.4337,                 1.5871,                0.63741,                0.62576,                0.66592,                0.40623,                   1.33,                 1.3299,                 1.5059,               0.007525,               0.007525,               0.007525
                     28,                 1.4313,                  1.429,                 1.5905,                0.62316,                0.61549,                0.66885,                0.40521,                 1.3441,                 1.3567,                 1.5111,               0.007426,               0.007426,               0.007426
                     29,                 1.4146,                 1.4109,                 1.5781,                0.65587,                0.61917,                0.68929,                0.42827,                 1.2949,                 1.2831,                 1.4642,               0.007327,               0.007327,               0.007327
                     30,                 1.4068,                 1.3968,                 1.5705,                 0.6239,                0.61622,                0.67255,                0.41862,                 1.2912,                 1.3284,                 1.4689,               0.007228,               0.007228,               0.007228
                     31,                 1.4065,                 1.3945,                 1.5733,                 0.6246,                0.64527,                0.68849,                0.43289,                 1.2735,                 1.2986,                   1.46,               0.007129,               0.007129,               0.007129
                     32,                  1.386,                 1.3596,                  1.556,                0.64742,                0.65431,                0.69066,                0.43131,                 1.2798,                 1.2723,                 1.4676,                0.00703,                0.00703,                0.00703
                     33,                 1.3868,                 1.3587,                 1.5502,                0.65193,                0.64173,                0.69337,                 0.4395,                 1.2755,                 1.2726,                 1.4571,               0.006931,               0.006931,               0.006931
                     34,                 1.3835,                 1.3509,                 1.5509,                 0.6507,                0.65309,                0.71004,                0.44751,                 1.2697,                 1.2368,                 1.4495,               0.006832,               0.006832,               0.006832
                     35,                 1.3772,                 1.3288,                 1.5401,                0.63887,                0.65594,                0.69164,                0.43115,                 1.2658,                 1.2876,                 1.4397,               0.006733,               0.006733,               0.006733
                     36,                 1.3615,                 1.3213,                 1.5319,                0.64316,                0.66608,                0.70592,                0.44312,                 1.2608,                 1.2504,                  1.435,               0.006634,               0.006634,               0.006634
                     37,                 1.3529,                 1.3009,                   1.52,                0.65449,                0.65698,                 0.7072,                0.44841,                 1.2487,                  1.232,                 1.4346,               0.006535,               0.006535,               0.006535
                     38,                 1.3511,                 1.2964,                 1.5169,                0.66672,                0.66523,                0.71514,                 0.4575,                 1.2366,                 1.2054,                 1.4225,               0.006436,               0.006436,               0.006436
                     39,                 1.3471,                 1.2855,                  1.514,                0.67112,                0.66044,                0.71799,                 0.4563,                 1.2521,                 1.2074,                 1.4301,               0.006337,               0.006337,               0.006337
                     40,                 1.3357,                 1.2878,                 1.5107,                 0.6682,                0.69193,                0.73471,                0.46733,                 1.2277,                 1.1799,                 1.4133,               0.006238,               0.006238,               0.006238
                     41,                 1.3383,                 1.2725,                 1.5108,                0.67947,                0.66696,                0.72598,                0.46941,                 1.2268,                 1.1754,                 1.4018,               0.006139,               0.006139,               0.006139
                     42,                 1.3212,                 1.2633,                 1.4969,                0.68356,                0.67041,                0.73009,                0.47034,                  1.226,                 1.1817,                  1.406,                0.00604,                0.00604,                0.00604
                     43,                 1.3209,                  1.251,                 1.4956,                0.68193,                0.69861,                0.74711,                0.48406,                 1.1941,                 1.1291,                 1.3844,               0.005941,               0.005941,               0.005941
                     44,                 1.3198,                 1.2453,                 1.4886,                0.69072,                0.67399,                0.73962,                0.47344,                 1.2341,                 1.1651,                 1.4121,               0.005842,               0.005842,               0.005842
                     45,                 1.3193,                   1.24,                 1.4841,                0.69599,                0.68314,                0.74618,                0.48338,                 1.2129,                 1.1397,                  1.393,               0.005743,               0.005743,               0.005743
                     46,                  1.306,                 1.2276,                 1.4769,                 0.6827,                0.68944,                0.74181,                0.48547,                 1.1967,                  1.145,                 1.3844,               0.005644,               0.005644,               0.005644
