                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5693,                 3.6109,                 3.8195,                0.04952,                0.11752,                0.01608,                0.00444,                 3.1757,                   3.94,                 3.5845,               0.070178,              0.0033136,              0.0033136
                      2,                 2.8984,                 2.8943,                 3.1161,                0.20475,                0.20009,                0.11844,                0.04206,                 2.5483,                 2.8656,                 2.8665,               0.040112,              0.0065811,              0.0065811
                      3,                 2.3352,                 2.5353,                 2.5708,                0.23832,                0.25472,                 0.1684,                 0.0656,                 2.1632,                 2.9463,                 2.4371,              0.0099799,              0.0097827,              0.0097827
                      4,                 2.0353,                 2.2822,                 2.2297,                0.32043,                0.35818,                0.25391,                 0.1078,                 1.9129,                  2.451,                 2.1238,               0.009703,               0.009703,               0.009703
                      5,                 1.8889,                 2.1181,                 2.0578,                0.40768,                0.46369,                0.40873,                0.19217,                 1.7493,                 2.0916,                  1.952,               0.009703,               0.009703,               0.009703
                      6,                 1.8093,                 2.0153,                 1.9777,                  0.436,                0.47326,                0.43052,                0.20832,                 1.7011,                 2.1792,                 1.8672,               0.009604,               0.009604,               0.009604
                      7,                 1.7534,                 1.9487,                 1.9162,                0.48771,                0.47593,                0.46343,                0.23984,                 1.6409,                 1.8819,                 1.8323,               0.009505,               0.009505,               0.009505
                      8,                 1.7195,                 1.8954,                 1.8728,                 0.4985,                0.49555,                0.49288,                0.25769,                 1.6015,                 1.8319,                 1.7829,               0.009406,               0.009406,               0.009406
                      9,                 1.6797,                 1.8431,                 1.8468,                 0.4472,                0.50965,                0.47353,                0.24203,                 1.6074,                 1.9204,                 1.7795,               0.009307,               0.009307,               0.009307
                     10,                 1.6587,                 1.7936,                 1.8201,                0.51039,                0.52119,                0.51294,                0.27871,                 1.5492,                  1.788,                 1.7475,               0.009208,               0.009208,               0.009208
                     11,                 1.6255,                 1.7523,                 1.7824,                0.51734,                0.52788,                0.52429,                0.28584,                 1.5347,                 1.8648,                  1.714,               0.009109,               0.009109,               0.009109
                     12,                 1.6206,                 1.7297,                 1.7691,                0.54743,                0.54991,                0.55477,                0.30403,                 1.5567,                 1.6452,                 1.7202,                0.00901,                0.00901,                0.00901
                     13,                 1.5942,                  1.712,                 1.7466,                 0.5611,                0.54974,                0.55907,                0.31447,                 1.4874,                 1.6348,                 1.6649,               0.008911,               0.008911,               0.008911
                     14,                 1.5772,                 1.6671,                 1.7318,                 0.5323,                 0.5619,                0.55795,                0.31689,                  1.456,                 1.5969,                 1.6286,               0.008812,               0.008812,               0.008812
                     15,                 1.5686,                 1.6489,                 1.7297,                0.54979,                 0.5601,                0.57698,                0.32778,                 1.4548,                  1.591,                 1.6188,               0.008713,               0.008713,               0.008713
                     16,                 1.5422,                 1.6122,                  1.697,                0.52521,                0.57841,                0.56476,                0.32171,                 1.4914,                 1.6361,                 1.6432,               0.008614,               0.008614,               0.008614
                     17,                 1.5249,                  1.592,                 1.6844,                0.59494,                0.55228,                0.58308,                0.33705,                 1.4327,                 1.5957,                 1.6082,               0.008515,               0.008515,               0.008515
                     18,                 1.5148,                 1.5786,                 1.6709,                0.58515,                0.57012,                0.59565,                0.35075,                  1.432,                 1.5243,                 1.5987,               0.008416,               0.008416,               0.008416
                     19,                  1.509,                 1.5603,                 1.6626,                0.57036,                0.58355,                0.61005,                0.36148,                 1.3969,                 1.4832,                 1.5689,               0.008317,               0.008317,               0.008317
                     20,                  1.505,                 1.5555,                 1.6611,                0.56391,                  0.591,                0.61238,                0.36248,                 1.4147,                 1.5099,                 1.5756,               0.008218,               0.008218,               0.008218
                     21,                   1.49,                 1.5251,                 1.6453,                0.60545,                0.61614,                0.64122,                 0.3779,                 1.3862,                 1.4115,                 1.5645,               0.008119,               0.008119,               0.008119
                     22,                 1.4764,                 1.5047,                 1.6394,                0.56576,                0.60509,                0.61442,                0.36467,                 1.3895,                 1.4942,                 1.5462,                0.00802,                0.00802,                0.00802
                     23,                 1.4634,                 1.4903,                 1.6249,                0.59874,                 0.6381,                0.64509,                 0.3868,                 1.3618,                 1.3904,                  1.537,               0.007921,               0.007921,               0.007921
                     24,                 1.4546,                  1.473,                  1.609,                0.59228,                0.61172,                0.63577,                  0.385,                 1.3642,                 1.4076,                 1.5297,               0.007822,               0.007822,               0.007822
                     25,                 1.4419,                 1.4583,                 1.6066,                0.60381,                0.60562,                0.63951,                0.38515,                 1.3472,                 1.4027,                 1.5202,               0.007723,               0.007723,               0.007723
                     26,                 1.4439,                 1.4439,                 1.5885,                0.63278,                0.60022,                0.65197,                0.39627,                 1.3438,                 1.3615,                 1.5022,               0.007624,               0.007624,               0.007624
                     27,                 1.4268,                 1.4261,                 1.5836,                0.65311,                 0.6186,                0.67228,                0.41789,                  1.301,                  1.308,                 1.4827,               0.007525,               0.007525,               0.007525
                     28,                 1.4326,                 1.4195,                 1.5897,                 0.6335,                0.61585,                0.66738,                0.40825,                 1.3374,                 1.3498,                 1.5116,               0.007426,               0.007426,               0.007426
                     29,                 1.4147,                 1.4035,                 1.5772,                0.64888,                0.63919,                 0.6881,                0.42805,                  1.292,                 1.3016,                 1.4715,               0.007327,               0.007327,               0.007327
                     30,                 1.4091,                 1.3883,                 1.5684,                0.60998,                0.64243,                0.67316,                0.42042,                 1.2697,                  1.319,                  1.461,               0.007228,               0.007228,               0.007228
                     31,                 1.4033,                 1.3847,                 1.5685,                 0.6334,                0.63082,                0.68193,                0.42854,                 1.2873,                 1.2894,                 1.4628,               0.007129,               0.007129,               0.007129
                     32,                 1.3825,                 1.3552,                 1.5533,                0.63154,                0.65443,                0.68934,                0.42626,                 1.2912,                 1.2795,                 1.4677,                0.00703,                0.00703,                0.00703
                     33,                 1.3853,                 1.3481,                 1.5457,                0.65408,                0.65208,                 0.6924,                0.43394,                 1.2807,                 1.2903,                 1.4572,               0.006931,               0.006931,               0.006931
                     34,                 1.3809,                 1.3429,                 1.5466,                0.63964,                0.63753,                0.68452,                0.42467,                 1.3074,                 1.3029,                 1.4804,               0.006832,               0.006832,               0.006832
                     35,                  1.374,                 1.3228,                 1.5329,                   0.64,                 0.6712,                0.69993,                0.43493,                 1.2737,                 1.2548,                 1.4514,               0.006733,               0.006733,               0.006733
                     36,                 1.3601,                  1.316,                 1.5267,                0.66064,                0.67033,                0.71832,                0.44925,                 1.2634,                 1.2288,                 1.4349,               0.006634,               0.006634,               0.006634
                     37,                  1.356,                  1.297,                 1.5175,                0.63385,                0.66582,                0.69171,                0.43433,                 1.2623,                 1.2676,                 1.4421,               0.006535,               0.006535,               0.006535
                     38,                 1.3499,                 1.2931,                 1.5119,                0.68253,                0.64993,                0.73049,                0.46855,                 1.2206,                 1.1763,                 1.3996,               0.006436,               0.006436,               0.006436
                     39,                 1.3435,                 1.2781,                 1.5075,                0.67708,                0.67202,                0.72926,                0.46745,                 1.2362,                 1.1749,                 1.4117,               0.006337,               0.006337,               0.006337
                     40,                 1.3343,                 1.2787,                 1.5054,                0.72362,                0.66909,                0.74362,                0.47291,                 1.2357,                 1.1629,                 1.4127,               0.006238,               0.006238,               0.006238
                     41,                 1.3384,                 1.2579,                 1.5047,                0.69728,                0.67379,                0.73619,                0.47057,                 1.2411,                  1.161,                  1.415,               0.006139,               0.006139,               0.006139
                     42,                 1.3156,                 1.2538,                 1.4885,                0.69389,                0.63748,                0.72176,                0.46709,                 1.2369,                 1.1906,                 1.4086,                0.00604,                0.00604,                0.00604
                     43,                 1.3161,                 1.2404,                 1.4885,                0.68101,                0.68601,                0.73655,                0.47151,                 1.2278,                  1.163,                    1.4,               0.005941,               0.005941,               0.005941
                     44,                 1.3159,                 1.2354,                 1.4822,                0.68983,                0.68856,                0.74862,                0.48786,                  1.208,                 1.1188,                 1.3892,               0.005842,               0.005842,               0.005842
                     45,                 1.3098,                 1.2325,                  1.474,                0.70651,                 0.6899,                0.75192,                0.48573,                 1.2071,                 1.1272,                 1.3876,               0.005743,               0.005743,               0.005743
                     46,                 1.3028,                 1.2209,                 1.4708,                0.69861,                0.68481,                0.74789,                0.48676,                 1.2067,                 1.1204,                 1.3894,               0.005644,               0.005644,               0.005644
                     47,                 1.2988,                 1.2015,                 1.4727,                0.70796,                0.69212,                0.75427,                0.49424,                 1.2011,                 1.1078,                 1.3885,               0.005545,               0.005545,               0.005545
                     48,                 1.2992,                 1.2013,                 1.4717,                0.71819,                0.69116,                0.76653,                0.50055,                 1.1826,                  1.086,                 1.3688,               0.005446,               0.005446,               0.005446
                     49,                 1.2889,                 1.1904,                 1.4628,                0.69797,                0.70272,                0.75879,                0.49999,                 1.1816,                 1.0863,                 1.3749,               0.005347,               0.005347,               0.005347
                     50,                 1.2769,                 1.1761,                 1.4464,                0.73045,                0.69612,                0.77132,                0.50854,                 1.1894,                 1.0774,                 1.3786,               0.005248,               0.005248,               0.005248
                     51,                 1.2689,                 1.1702,                 1.4383,                0.71667,                0.70346,                0.77475,                0.51102,                 1.1704,                   1.07,                 1.3539,               0.005149,               0.005149,               0.005149
                     52,                  1.262,                 1.1515,                 1.4394,                0.74176,                0.69677,                 0.7689,                0.50836,                 1.1847,                 1.0729,                 1.3741,                0.00505,                0.00505,                0.00505
                     53,                 1.2613,                 1.1514,                  1.435,                0.72749,                 0.7194,                0.78287,                0.52052,                  1.164,                 1.0439,                  1.354,               0.004951,               0.004951,               0.004951
                     54,                 1.2607,                  1.146,                 1.4364,                0.73395,                0.71559,                0.79106,                0.52892,                 1.1539,                 1.0357,                 1.3459,               0.004852,               0.004852,               0.004852
                     55,                 1.2508,                 1.1438,                 1.4329,                0.75681,                0.71721,                0.79877,                0.53758,                 1.1392,                 1.0182,                 1.3343,               0.004753,               0.004753,               0.004753
                     56,                 1.2515,                 1.1446,                 1.4313,                0.74324,                0.72096,                0.79204,                0.52691,                 1.1493,                 1.0306,                  1.341,               0.004654,               0.004654,               0.004654
                     57,                 1.2456,                 1.1279,                 1.4274,                0.75163,                0.73095,                0.80044,                0.54336,                 1.1269,                0.99432,                 1.3251,               0.004555,               0.004555,               0.004555
                     58,                 1.2423,                 1.1225,                 1.4213,                0.75754,                0.72592,                0.80569,                0.54516,                 1.1289,                0.99454,                 1.3255,               0.004456,               0.004456,               0.004456
                     59,                 1.2308,                 1.1112,                 1.4139,                0.74637,                0.74267,                0.81361,                 0.5507,                   1.12,                0.99271,                 1.3117,               0.004357,               0.004357,               0.004357
                     60,                 1.2353,                 1.1073,                 1.4136,                0.75974,                0.73634,                0.81138,                0.55323,                 1.1126,                0.97655,                 1.3158,               0.004258,               0.004258,               0.004258
                     61,                 1.2239,                 1.0968,                 1.4065,                0.74007,                0.75808,                0.81085,                0.55395,                 1.1077,                0.97858,                 1.3098,               0.004159,               0.004159,               0.004159
                     62,                  1.217,                 1.0814,                 1.4014,                 0.7437,                0.74702,                0.81148,                0.55032,                 1.1167,                0.97872,                 1.3189,                0.00406,                0.00406,                0.00406
                     63,                 1.2156,                 1.0835,                 1.4001,                0.75861,                0.74047,                0.81441,                0.55879,                 1.1082,                 0.9717,                 1.3081,               0.003961,               0.003961,               0.003961
                     64,                 1.2025,                 1.0706,                 1.3984,                0.77555,                0.73424,                0.81646,                0.55936,                 1.1065,                0.96477,                 1.3072,               0.003862,               0.003862,               0.003862
                     65,                 1.2027,                 1.0555,                 1.3894,                0.75538,                0.76651,                0.82439,                0.57055,                  1.093,                0.93963,                  1.301,               0.003763,               0.003763,               0.003763
                     66,                 1.1928,                 1.0479,                 1.3801,                0.76966,                0.75212,                0.82389,                0.56648,                 1.0993,                0.96099,                 1.3012,               0.003664,               0.003664,               0.003664
                     67,                 1.1954,                 1.0521,                 1.3804,                  0.793,                0.73396,                 0.8254,                0.56759,                    1.1,                0.94137,                 1.2969,               0.003565,               0.003565,               0.003565
                     68,                 1.1937,                 1.0483,                 1.3773,                0.76797,                0.76184,                0.83004,                0.57442,                  1.086,                0.92934,                 1.2913,               0.003466,               0.003466,               0.003466
                     69,                 1.1799,                 1.0269,                 1.3676,                0.78192,                0.76465,                0.83359,                0.58108,                 1.0804,                0.92066,                  1.283,               0.003367,               0.003367,               0.003367
