                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5837,                 3.7281,                 3.7871,                0.51985,                0.03959,                0.01112,                0.00325,                  3.309,                 3.4502,                 3.4634,               0.070178,              0.0033136,              0.0033136
                      2,                   3.08,                 2.9707,                 3.1623,                0.10408,                 0.2782,                0.06495,                 0.0201,                 2.7441,                 3.5656,                 2.9774,               0.040112,              0.0065811,              0.0065811
                      3,                 2.4101,                 2.5682,                 2.5955,                0.21542,                0.28016,                0.15125,                0.05676,                 2.1954,                 3.1317,                  2.453,              0.0099799,              0.0097827,              0.0097827
                      4,                 2.0735,                 2.3128,                 2.2484,                0.39213,                0.41685,                 0.3383,                0.14091,                  1.926,                 2.3961,                 2.1244,               0.009703,               0.009703,               0.009703
                      5,                 1.9175,                   2.15,                 2.0761,                0.36145,                0.49227,                0.41621,                0.19534,                 1.7477,                 2.4324,                  1.964,               0.009703,               0.009703,               0.009703
                      6,                 1.8292,                 2.0401,                 1.9861,                0.48721,                0.45142,                0.45684,                0.22214,                 1.6746,                 1.9715,                 1.8671,               0.009604,               0.009604,               0.009604
                      7,                 1.7742,                 1.9728,                 1.9241,                0.47672,                 0.4882,                0.45674,                0.22954,                 1.6536,                 1.9229,                 1.8292,               0.009505,               0.009505,               0.009505
                      8,                  1.735,                 1.9167,                 1.8751,                0.49974,                0.50578,                0.50014,                0.26089,                 1.6002,                 1.9777,                 1.7602,               0.009406,               0.009406,               0.009406
                      9,                 1.7037,                 1.8693,                 1.8534,                0.52103,                0.50453,                0.49935,                0.25593,                 1.5951,                 1.8226,                 1.7705,               0.009307,               0.009307,               0.009307
                     10,                 1.6771,                 1.8211,                 1.8196,                0.52444,                0.49829,                0.51317,                 0.2717,                 1.5602,                 1.8094,                 1.7269,               0.009208,               0.009208,               0.009208
                     11,                 1.6512,                 1.7798,                 1.7834,                0.53531,                0.53468,                0.53442,                0.29219,                 1.5125,                 1.6874,                 1.6738,               0.009109,               0.009109,               0.009109
                     12,                 1.6386,                 1.7626,                 1.7705,                0.56629,                0.53379,                0.56234,                0.31626,                 1.4906,                 1.6158,                 1.6433,                0.00901,                0.00901,                0.00901
                     13,                 1.6176,                 1.7336,                 1.7462,                0.54304,                0.54843,                0.55321,                0.30674,                 1.4842,                 1.6344,                 1.6312,               0.008911,               0.008911,               0.008911
                     14,                 1.5928,                 1.6901,                 1.7247,                0.56655,                0.56506,                 0.5744,                0.32646,                 1.4465,                 1.5722,                 1.6082,               0.008812,               0.008812,               0.008812
                     15,                 1.5881,                 1.6769,                 1.7251,                0.56321,                0.57269,                0.59778,                0.33357,                 1.4639,                 1.5483,                  1.601,               0.008713,               0.008713,               0.008713
                     16,                 1.5656,                 1.6439,                 1.6955,                0.57292,                0.57639,                0.60253,                0.34508,                 1.4466,                 1.5102,                 1.5833,               0.008614,               0.008614,               0.008614
                     17,                  1.548,                 1.6235,                 1.6788,                0.57841,                0.58999,                0.60496,                0.34321,                 1.4303,                 1.5202,                 1.5775,               0.008515,               0.008515,               0.008515
                     18,                 1.5425,                 1.6072,                 1.6671,                0.55787,                0.58368,                0.59324,                0.34231,                 1.4218,                  1.527,                 1.5553,               0.008416,               0.008416,               0.008416
                     19,                 1.5314,                 1.5886,                 1.6578,                0.58152,                0.57112,                 0.6019,                0.34938,                  1.409,                 1.5074,                 1.5525,               0.008317,               0.008317,               0.008317
                     20,                 1.5263,                 1.5843,                  1.654,                0.59023,                0.59205,                 0.6106,                0.35196,                 1.4192,                 1.5619,                 1.5568,               0.008218,               0.008218,               0.008218
                     21,                 1.5198,                 1.5578,                 1.6399,                0.60399,                0.60425,                0.63121,                 0.3664,                 1.3989,                 1.4443,                 1.5335,               0.008119,               0.008119,               0.008119
                     22,                 1.5077,                 1.5396,                   1.64,                0.61475,                0.58255,                0.63512,                0.37893,                 1.3578,                 1.4218,                 1.5005,                0.00802,                0.00802,                0.00802
                     23,                 1.4913,                 1.5221,                 1.6216,                 0.6018,                0.61742,                0.63492,                0.37141,                 1.3903,                 1.4173,                 1.5212,               0.007921,               0.007921,               0.007921
                     24,                 1.4853,                 1.5078,                  1.613,                0.61443,                0.62044,                0.65547,                0.38859,                 1.3606,                 1.3776,                 1.5009,               0.007822,               0.007822,               0.007822
                     25,                 1.4718,                 1.4921,                 1.6028,                0.61465,                0.61554,                0.64946,                0.39064,                 1.3432,                 1.3841,                   1.49,               0.007723,               0.007723,               0.007723
                     26,                 1.4781,                 1.4793,                 1.5927,                0.63066,                 0.6189,                0.67171,                0.40305,                 1.3476,                 1.3342,                  1.478,               0.007624,               0.007624,               0.007624
