                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5962,                 3.7648,                 3.8809,                0.52745,                0.02716,                0.00909,                0.00258,                 3.2988,                 5.1245,                 3.7359,               0.070178,              0.0033136,              0.0033136
                      2,                 3.0107,                 2.9614,                 3.1966,                0.23878,                0.27188,                0.14911,                0.05217,                 2.5974,                  2.809,                 2.9131,               0.040112,              0.0065811,              0.0065811
                      3,                 2.3647,                 2.5499,                 2.6071,                0.27001,                0.30926,                 0.2196,                0.08887,                 2.1314,                 2.5828,                 2.4299,              0.0099799,              0.0097827,              0.0097827
                      4,                   2.04,                 2.2683,                  2.259,                0.37408,                 0.4005,                 0.3302,                0.14847,                 1.8684,                 2.3329,                 2.1379,               0.009703,               0.009703,               0.009703
                      5,                 1.8862,                 2.1014,                 2.0928,                0.48628,                0.42245,                0.42311,                 0.2082,                 1.7326,                 2.1034,                 2.0046,               0.009703,               0.009703,               0.009703
                      6,                 1.7965,                 1.9917,                 2.0045,                0.49266,                0.48554,                0.47194,                0.23954,                 1.6471,                 1.8817,                 1.8886,               0.009604,               0.009604,               0.009604
                      7,                 1.7432,                 1.9262,                 1.9427,                0.50158,                0.51019,                0.48719,                0.25302,                 1.6122,                 1.8133,                 1.8691,               0.009505,               0.009505,               0.009505
                      8,                 1.7063,                 1.8746,                 1.9026,                0.47434,                0.51197,                0.49137,                0.25664,                 1.5632,                 1.9475,                 1.8189,               0.009406,               0.009406,               0.009406
                      9,                 1.6757,                 1.8171,                 1.8767,                0.49679,                0.55963,                0.53419,                 0.2839,                 1.5436,                 1.7905,                 1.7878,               0.009307,               0.009307,               0.009307
                     10,                 1.6446,                 1.7618,                 1.8441,                0.53958,                0.53022,                0.53275,                0.29041,                 1.5233,                 1.6687,                 1.7461,               0.009208,               0.009208,               0.009208
                     11,                 1.6106,                 1.7172,                 1.8062,                0.50279,                0.56198,                0.55512,                0.30788,                 1.4848,                   1.71,                 1.7154,               0.009109,               0.009109,               0.009109
                     12,                 1.6032,                 1.6958,                 1.7938,                0.55205,                0.53564,                0.55026,                0.30946,                 1.4855,                 1.6211,                 1.7179,                0.00901,                0.00901,                0.00901
                     13,                 1.5756,                 1.6745,                 1.7695,                0.58179,                0.58721,                0.59786,                0.33951,                 1.4409,                 1.5463,                 1.6697,               0.008911,               0.008911,               0.008911
                     14,                 1.5545,                 1.6313,                 1.7518,                0.55464,                0.59616,                0.59892,                0.33856,                 1.4172,                 1.5855,                 1.6438,               0.008812,               0.008812,               0.008812
                     15,                 1.5467,                 1.6159,                 1.7522,                 0.5739,                0.58515,                0.60635,                0.34567,                 1.4364,                 1.5081,                 1.6514,               0.008713,               0.008713,               0.008713
                     16,                 1.5254,                 1.5802,                 1.7282,                0.57426,                0.57447,                0.60204,                0.34675,                 1.4328,                    1.5,                 1.6391,               0.008614,               0.008614,               0.008614
                     17,                 1.5009,                 1.5499,                  1.711,                0.58482,                0.59712,                0.62957,                0.36854,                 1.3796,                 1.4565,                 1.6223,               0.008515,               0.008515,               0.008515
                     18,                 1.4954,                 1.5376,                 1.7057,                0.57849,                0.60239,                0.60502,                0.35096,                 1.4017,                 1.5427,                 1.6237,               0.008416,               0.008416,               0.008416
                     19,                 1.4809,                 1.5166,                 1.6905,                0.60607,                0.61411,                0.65244,                0.38659,                 1.3562,                 1.4077,                 1.6066,               0.008317,               0.008317,               0.008317
                     20,                 1.4722,                 1.5037,                 1.6915,                0.63351,                0.61612,                 0.6666,                0.39761,                 1.3565,                 1.3559,                 1.5924,               0.008218,               0.008218,               0.008218
                     21,                 1.4668,                 1.4787,                  1.673,                0.61695,                0.63389,                0.65976,                0.38684,                  1.361,                 1.3808,                 1.6043,               0.008119,               0.008119,               0.008119
                     22,                 1.4484,                   1.46,                   1.67,                0.62087,                0.62805,                 0.6679,                0.40314,                 1.3364,                 1.3465,                 1.5912,                0.00802,                0.00802,                0.00802
                     23,                 1.4368,                  1.444,                 1.6612,                0.59144,                0.64572,                0.66481,                0.39986,                 1.3467,                 1.3528,                 1.6039,               0.007921,               0.007921,               0.007921
                     24,                   1.43,                 1.4231,                 1.6466,                0.64816,                0.63029,                0.67561,                 0.4144,                 1.3147,                 1.3185,                 1.5687,               0.007822,               0.007822,               0.007822
                     25,                 1.4132,                  1.409,                 1.6407,                0.63136,                0.62118,                0.68159,                0.41718,                  1.311,                 1.3143,                  1.561,               0.007723,               0.007723,               0.007723
                     26,                 1.4142,                 1.3943,                 1.6284,                0.58977,                0.62817,                0.65742,                0.40485,                 1.3258,                 1.3719,                  1.561,               0.007624,               0.007624,               0.007624
                     27,                 1.3978,                 1.3826,                 1.6199,                0.63238,                0.64396,                0.67682,                0.42366,                 1.2883,                 1.2784,                 1.5416,               0.007525,               0.007525,               0.007525
                     28,                 1.3963,                 1.3674,                 1.6212,                0.66837,                0.65683,                0.71247,                0.44596,                 1.2702,                 1.2349,                   1.52,               0.007426,               0.007426,               0.007426
                     29,                 1.3841,                 1.3538,                 1.6141,                0.66744,                0.64902,                0.71258,                0.43872,                 1.2818,                 1.2433,                 1.5351,               0.007327,               0.007327,               0.007327
                     30,                 1.3744,                 1.3307,                  1.602,                0.62691,                0.65268,                0.69539,                0.43375,                 1.2822,                 1.2525,                  1.537,               0.007228,               0.007228,               0.007228
                     31,                 1.3679,                 1.3243,                 1.6064,                0.67967,                0.65485,                0.71517,                0.45195,                 1.2574,                 1.2313,                 1.5233,               0.007129,               0.007129,               0.007129
                     32,                  1.351,                 1.2949,                 1.5886,                0.64335,                0.68211,                0.71585,                 0.4467,                 1.2826,                  1.232,                 1.5252,                0.00703,                0.00703,                0.00703
                     33,                 1.3539,                 1.2903,                 1.5816,                0.66859,                0.67209,                0.72051,                0.45488,                 1.2609,                 1.1976,                 1.5159,               0.006931,               0.006931,               0.006931
                     34,                  1.343,                 1.2889,                 1.5871,                0.67069,                0.67893,                0.73283,                0.46661,                 1.2502,                 1.1845,                 1.5193,               0.006832,               0.006832,               0.006832
                     35,                 1.3417,                 1.2637,                 1.5746,                0.67852,                0.67576,                 0.7303,                 0.4676,                 1.2151,                 1.1829,                 1.4873,               0.006733,               0.006733,               0.006733
                     36,                 1.3202,                 1.2556,                 1.5645,                0.67462,                0.70143,                0.74207,                0.47098,                 1.2409,                  1.169,                 1.5017,               0.006634,               0.006634,               0.006634
                     37,                 1.3173,                 1.2312,                 1.5509,                0.70717,                0.67936,                0.74458,                0.48229,                 1.2179,                 1.1512,                 1.4875,               0.006535,               0.006535,               0.006535
                     38,                 1.3132,                 1.2288,                 1.5503,                0.69067,                0.69001,                 0.7506,                0.48847,                 1.2165,                 1.1287,                 1.4909,               0.006436,               0.006436,               0.006436
                     39,                 1.3033,                 1.2169,                 1.5455,                0.69256,                0.71342,                0.75938,                0.49319,                 1.1981,                 1.1125,                 1.4652,               0.006337,               0.006337,               0.006337
                     40,                 1.2984,                 1.2122,                 1.5495,                0.68436,                0.70767,                0.75826,                0.49236,                  1.202,                 1.1255,                   1.47,               0.006238,               0.006238,               0.006238
                     41,                 1.2979,                  1.196,                 1.5486,                0.71026,                 0.7022,                 0.7654,                0.49409,                 1.2082,                 1.1049,                 1.4684,               0.006139,               0.006139,               0.006139
                     42,                 1.2802,                 1.1842,                 1.5324,                0.69345,                0.69072,                0.75444,                0.49521,                 1.1976,                 1.1074,                 1.4673,                0.00604,                0.00604,                0.00604
                     43,                 1.2752,                 1.1787,                  1.524,                0.70122,                 0.7196,                0.77208,                0.50802,                 1.1841,                 1.0756,                 1.4571,               0.005941,               0.005941,               0.005941
                     44,                 1.2742,                 1.1718,                 1.5217,                0.71964,                0.68478,                  0.769,                0.50499,                 1.1823,                 1.0897,                 1.4548,               0.005842,               0.005842,               0.005842
                     45,                 1.2723,                 1.1702,                 1.5202,                0.73028,                0.70817,                0.77761,                 0.5173,                 1.1768,                 1.0754,                 1.4489,               0.005743,               0.005743,               0.005743
                     46,                 1.2605,                 1.1528,                 1.5111,                0.73832,                0.69934,                0.78195,                0.51733,                 1.1782,                 1.0638,                 1.4508,               0.005644,               0.005644,               0.005644
                     47,                 1.2558,                 1.1355,                 1.5062,                0.73223,                0.72203,                0.78528,                0.52631,                 1.1608,                 1.0443,                 1.4359,               0.005545,               0.005545,               0.005545
                     48,                 1.2514,                 1.1339,                 1.5053,                0.70399,                0.73113,                0.77901,                0.52263,                 1.1541,                 1.0549,                 1.4392,               0.005446,               0.005446,               0.005446
                     49,                 1.2395,                 1.1156,                 1.4929,                0.73605,                0.72188,                0.79027,                0.53096,                 1.1478,                 1.0305,                 1.4233,               0.005347,               0.005347,               0.005347
                     50,                 1.2297,                 1.1008,                  1.485,                0.74282,                0.70617,                 0.7888,                0.53362,                 1.1469,                 1.0273,                 1.4244,               0.005248,               0.005248,               0.005248
                     51,                 1.2236,                  1.095,                 1.4798,                0.76328,                0.72054,                0.80549,                0.54842,                 1.1229,                 1.0013,                 1.4045,               0.005149,               0.005149,               0.005149
                     52,                 1.2162,                 1.0808,                 1.4772,                0.73244,                0.73072,                0.79091,                0.53896,                 1.1419,                 1.0249,                 1.4222,                0.00505,                0.00505,                0.00505
                     53,                 1.2151,                 1.0864,                 1.4665,                0.73176,                0.74935,                0.79973,                  0.545,                 1.1274,                 1.0092,                 1.4111,               0.004951,               0.004951,               0.004951
                     54,                 1.2122,                 1.0763,                 1.4703,                0.76022,                0.74086,                0.82361,                0.56404,                 1.1099,                0.95503,                 1.3931,               0.004852,               0.004852,               0.004852
                     55,                 1.2086,                 1.0738,                 1.4707,                0.74917,                0.75821,                 0.8184,                0.56133,                 1.0996,                0.97242,                 1.3989,               0.004753,               0.004753,               0.004753
                     56,                 1.2024,                 1.0677,                 1.4651,                0.76842,                0.75617,                0.82515,                0.56857,                 1.1007,                0.94572,                 1.3948,               0.004654,               0.004654,               0.004654
                     57,                 1.1944,                 1.0525,                 1.4617,                0.77184,                0.75333,                0.82903,                0.57339,                 1.1072,                0.93502,                 1.3973,               0.004555,               0.004555,               0.004555
                     58,                 1.1931,                 1.0461,                 1.4552,                0.78743,                0.75747,                 0.8314,                0.57159,                 1.0943,                0.93677,                 1.3876,               0.004456,               0.004456,               0.004456
                     59,                 1.1848,                 1.0375,                 1.4523,                0.76943,                0.75612,                0.82964,                0.57263,                 1.1013,                  0.934,                 1.3955,               0.004357,               0.004357,               0.004357
                     60,                 1.1852,                 1.0356,                 1.4495,                0.77346,                0.76918,                0.83964,                0.58245,                 1.0805,                0.91622,                 1.3838,               0.004258,               0.004258,               0.004258
                     61,                 1.1694,                 1.0228,                 1.4386,                0.76708,                0.76275,                0.83473,                0.58142,                 1.0797,                0.93392,                 1.3757,               0.004159,               0.004159,               0.004159
                     62,                 1.1662,                 1.0105,                 1.4375,                0.78438,                0.75443,                 0.8386,                0.58922,                  1.075,                0.90723,                  1.376,                0.00406,                0.00406,                0.00406
                     63,                 1.1674,                 1.0096,                 1.4383,                0.78043,                0.75874,                0.83778,                0.58851,                 1.0709,                0.90741,                 1.3696,               0.003961,               0.003961,               0.003961
                     64,                 1.1501,                0.99627,                 1.4297,                0.78667,                 0.7543,                0.84055,                0.58964,                 1.0754,                 0.8975,                 1.3695,               0.003862,               0.003862,               0.003862
